,job_name,job_section,link,cn_name
0,추천시스템팀 데이터엔지니어,"[조직소개]추천시스템팀은 배민의 다양한 서비스를 위한 추천 기능을 만들고 운영하는 역할을 담당하고 있습니다.- 배민 개인화 가게 추천- 배민 장바구니 메뉴 추천- B마트 개인화 상품 추천- B마트 상품상세페이지 추천- B마트 장바구니 상품 추천- 만화경 개인화 작품 추천- 만화경 완결작품 추천주요업무ML 기반 추천 모델링을 실제 서비스에 적용하는 엔지니어 업무를 수행합니다.- 추천 서비스에 필요한 학습, 데이터 파이프라인, 서빙 시스템 개발 및 운영- 추천에 필요한 분산처리 어플리케이션 개발, 튜닝- k8s를 기반으로하는 추천 시스템을 위한 플랫폼 및 인프라를 설계, 구축- 추천 시스템 고도화를 위한 다양한 기술을 검토하고 도입자격요건- 데이터 파이프라인 구축  등 데이터 엔지니어링에 경험이 있으신 분- 데이터 사이언티스트와의 협업 경험이 있으신 분- ML Serving 개발 경험이 있으신 분- k8s, python 사용 능숙하신 분- 여러 상황에서 적합한 솔루션을 찾을 수 있는 문제해결능력과 뛰어난 커뮤니케이션 역량을 가지신 분우대사항- Backend 개발 경험- GPU 학습 최적화 경험 (Tensorflow, PyTorch)- 다양한 데이터베이스(MongoDB, Redis, ElasticSearch 등) 사용 경험- MLOps  플랫폼 구축, 활용 경험 (MLFlow, KubeFlow, MLOps 플랫폼 직접 구축 등)- 대규모 서비스 트래픽 운영 경험[개발환경]- 주요 기술* Python, SQL, Java, C++* Kubernetes, Spark, Airflow, Kafka* Tensorflow, Pytorch* MongoDB, Redis, RDB* AWS- 업무 도구 : GitLab, Slack, Jira, Confluence- 빌드, 배포, 테스트 자동화 : GitLab CI, ArgoCD- 모니터링: Grafana, Prometheus [꼭 읽어 주세요!]- 지원 시 경력기술서(PDF형식) 필수 첨부 부탁드립니다.- 경력기술서 작성 Tip : 다음과 관련된 경험이 있다면 구체적으로 기재해주세요* 대규모 데이터 또는 트래픽을 다뤄본 경험* ML 기반 서비스를 개발 또는 운영한 경험* 플랫폼을 설계 또는 고도화한 경험* 실시간 데이터 파이프라인을 개발 또는 운영한 경험* 데이터과학자와 협업한 경험혜택 및 복지[우아한혜택 미리보기]- 정규직 입사 시, 기본 연봉의 20%를 사이닝 보너스로 지급! (단, 근속조건 2년)- 일한 만큼 드립니다. 주 32시간 근무 초과시 분 단위로 지급되는 연장수당- 일을 더 잘하기 위한 근무제도 혁신은 계속된다, 지금은 주 1회 오프라인 출근! & 매월 10만원의 재택근무 지원금 지급- 재택근무에 진심인 회사! 최고의 재택업무 환경 제공 (허먼밀러에어론의자, 모션데스크, 5K모니터 중 택1 지급)- 연 200만원 복지포인트 지급- 가족까지 챙겨드려요. 본인, 배우자, 자녀, 양가 부모님까지 단체상해보험 제공- 주택자금 대출 이자 지원! 집 걱정을 덜어드려요.- 최신형 장비 2년마다 지원! (맥북 프로, 윈도우 중 선택)- 엄마, 아빠를 위한 다양한 지원 - 산후조리원비, 우아한 어린이집, 육아기 근로시간 단축, 우아한 예비 엄마/아빠 제도[입사 후 생활 미리보기]- 일할 땐 일하고, 쉴 땐 푹~ 쉬는 주 32시간제! 월요일 오전은 쉬어요. (화~금요일은 7시간 근무)- 배경음악(BGM)이 흐르는 카페 같은 오피스 (업무몰입도 UP, 잡담 UP)- 좋아하는 일을 하고 싶은 공간에서, 영감을 주는 스마트오피스- 매주 대표와 직원들이 자유롭게 의견을 나누는 소통의 장, 우수타 (우아한수다타임, 정말 수다 많이 떨어요)- 관심과 애정으로 구성원을 챙깁니다, 피플실! 배민다운 문화를 구성원과 함께 가꿔가요~- 자기성장에 필요한 도서구입비 무제한 지원. 서점에선 살까 말까 망설이지 않아요.#주32시간 #재택근무 #단체보험 #도서비지원 #사이닝보너스※ 입사지원 안내사항- 채용 프로세스 상 서류전형 이후부터는 우아한형제들 내부 시스템을 통해서 면접전형이 진행됩니다.- 서류전형 합격 시 우아한형제들 채용 시스템에 지원서 등록 절차가 한 번 더 진행됨을 사전 안내드립니다.- 원활한 채용 진행을 위해서 번거로움을 드리는 점 양해 부탁드립니다.기술스택 ・ 툴MongoDBPytorchSparkTensorflowJavaPythonSQLKubernetes",https://www.wanted.co.kr/wd/134314,"우아한형제들(배달의민족,Tech)"
1,데이터엔지니어,"기존 금융과 차별화된 혁신적인 서비스를 만들어 나가고 있는한국투자증권 디지털플랫폼본부에서 데이터 엔지니어를 모십니다.전통적인 금융 개발에서 벗어나유연하고 확장가능한 시스템을 만들기 위해서클라우드 기반(MTS, 모이다앱, 마케팅 서비스등)으로 각종 서비스를 만들어가고 있습니다.클라우드 기반의 금융시스템을 처음부터 만들어 볼 수 있는 기회입니다.현재 카카오뱅크, 토스, 넷마블 등 다양 비금융 IT기업의 경험 많은 시니어 개발자들이 합류하여 개발 환경과 문화를 만들어가고 있습니다주요업무• 기존의 인공지능 리서치(AIR) 대체 서비스 개발 중 데이터처리 파이프라인 구축 담당. 실시간 뉴스 처리는 kafka, 웹 상의 데이터 수집과 의미분석 파이프라인은 Airflow를 이용해 구축• 금융공학을 바탕으로 개발된 자체 로보어드바이저(RA)를 강화학습 등 AI/ML 기법과 마이데이터 사업자로서 얻을 수 있는 고객 데이터를 이용해 고도화하는 개발 과정에 초기부터 참여• 자체/제휴 로보어드바이저들이 고객의 선택을 받기 위해 서로 경쟁하는 플랫폼형 자산관리서비스 개발• 이밖에 고객이 쉽게 얻지 못하던 투자 정보를 수집/가공하는 데이터 처리기, 최종 결과물을 당사의 여러 모바일 채널(앱)에 제공하기 위한 API 서비스 개발자격요건• 관련 경력 6년 이상 또는 그에 준하는 능력• Python, Java 중 하나 이상의 프로그래밍 언어에 능숙하신 분• 자유로운 근무 환경에서 주도적 업무 수행 역량• 새로운 기술에 빠르게 적응하며 지속적으로 성장하고 싶으신 분• 꼼꼼한 업무 처리 능력과 본인 업무에 대한 책임감을 가지고 있으신 분우대사항• ML모형을 Serving하는 파이프라인 구축 경험 있으신 분• Kafka 기반의 이벤트 데이터 프로세싱 경험 있으신 분• Airflow 워크플로우를 Kubernetes 기반으로 구성하는 고가용성 시스템 구축 경험 있으신 분• 주니어 개발자들을 위한 코드리뷰 등 내부인력 육성에 관심이 많으신 분• 명확한 커뮤니케이션 스킬혜택 및 복지• 국내 최고 수준의 연봉과 성과급• 설 상여 70만 원 / 추석 상여 70만원 / 가정의 달 50만원 지급• 매월 개인연금 지급• 학자금 지원 (고등학교/대학교 학자금, 유치원보조비, 특수교육비)• 의료비 지원  - 실비(단체상해보험) - 본인, 배우자, 건강보험상 피부양자  - 치과(사내의료비) - 본인, 배우자, 건강보험상 피부양자  - 불(난)임(사내의료비) - 본인• 대출 지원 (주택구입/전세금대출, 생활안정자금대출)• 본인을 비롯한 부모 및 자녀 각종 경조사비 지원 등• 콘도 지원• 자기 개발비 지원• 최신 장비 지원*기타사항• 지원서 내용 중 허위사실이 있는 경우 합격이 취소될 수 있습니다.• 일반입사: 수습 없이 면접 후 정규직 또는 계약직 입사 가능(계약기간 최소 1년)• 수습입사: 3개월 수습 후 평가 및 면접결과에 따라 근로관계 유지 또는 해지될 수 있음  - 수습 후 면접(수습평가를 바탕으로 추가면접 진행)• 계약직은 평가에 따라 추후 정규직 전환",https://www.wanted.co.kr/wd/93569,한국투자증권
2,데이터엔지니어,"[직무 Summary]  글로벌 커뮤니티 플랫폼인 위버스(Weverse), 커머스 플랫폼인 위버스샵(Weverse Shop)의 데이터를 활용하여, 전세계 모든 팬들이 즐길 수 있는 양질의 콘텐츠 제공을 위한 데이터 플랫폼 및 제반 인프라를 개발하고 운영합니다. 또한, 데이터 및 데이터 파이프라인 구조를 최적화하고 다양한 관련 이해 관계자들과 긴밀히 협력하여 의미 있는 결과물을 창출합니다. 이를 통해, 전 세계 팬들과 아티스트가 하나의 공간에서 소통할 수 있는 글로벌 서비스를 개발하는데 기여할 수 있습니다.주요업무[주요 업무책임] • 데이터 플랫폼 개발 및 운영• 데이터 구조화 및 파이프라인 구축• 실시간 데이터 수집 및 이상 탐지 모니터링• 데이터 접근 제어 관리 및 비용 최적화를 위한 데이터 거버넌스 체계 수립 및 구축[주요 업무환경]• Databricks, Snowflake 기반의 데이터 플랫폼 구축 및 운영• AWS DMS, Kafka, Spark 등을 활용한 실시간 데이터 수집 파이프라인 구축• Airflow를 활용한 데이터 파이프라인 개발 및 운영• AWS S3, IAM, VPC 등 Terraform을 활용한 데이터 인프라 구축 및 운영• Go, Python, Scala를 활용한 파이프라인 자동화 및 데이터 수집을 위한 서비스 개발 및 운영자격요건[필수 자격요건]• 학력 및 전공 무관• 3년 이상 관련 업무 경험자• SQL 활용이 익숙한 분• Python, Go, Scala, Java 중 최소한 하나의 언어가 익숙한 분• Unix/Linux 개발 환경이 익숙한 분• 분산 시스템에 대한 이해가 있는 분• 다양한 전문성 / 배경의 구성원들과 원활한 커뮤니케이션이 가능한 분[필요역량]• 긍정적인 마인드• 새로운 기술 트렌드에 대한 관심 및 빠른 학습 능력• 문제 상황을 직면했을 때, 적극적으로 공유하고 함께 고민하고 문제를 풀어나가는 능력우대사항[선호자격 요건]• Kafka, Spark을 이용한 대용량 데이터 처리를 경험한 분• Databricks, Snowflake 등의 빅데이터 솔루션을 사용한 경험이 있는 분• AWS, Terraform 등의 클라우드 인프라 기술을 사용한 경험이 있는 분• 영어 커뮤니케이션(verbal & written)에 능통한 분• 전산학 / 컴퓨터공학 전공자혜택 및 복지*국가별/법인별 Benefit은 차이가 있을 수 있으며, 세부 사항은 입사 시 상세 안내위버스컴퍼니는 구성원들이 뛰어난 동료들과 함께 최고의 퍼포먼스를 낼 수 있도록 다양한 복리후생 프로그램을 제공하며, 더 좋은 근무환경을 만들기 위해 지속적으로 연구하고 있습니다.[조직문화]• 자율 출퇴근과 무제한 연차휴가제에 기반한 자율적인 업무 시간 관리• 자유로운 의견교환과 상호신뢰에 근거한 수평적 커뮤니케이션 (직급없이 모든 구성원이 “님” 호칭과 존댓말 사용)• 시간, 장소, 상황에 맞게 개성을 표현할 수 있는 자유복장[사무환경 및 휴게공간]• 일에 몰입할 수 있는 사무공간 및 직무별 최적화된 장비와 소프트웨어 제공• 창의력이 샘솟는 다양한 컨셉의 휴게 공간• 구성원의 신체적 심리적 건강을 책임지는 피트니스 센터와 심리상담 서비스 운영• 음료 제공 및 사내 식당 등을 활용한 중석식비 보조[가족/생활지원]• 유연한 근무환경(재택근무 등)에 필요한 통신비 지원• 새로운 가족의 탄생을 축하하는 출산휴가/육아휴직 지원 (출산휴가 최대 180일, 급여 100% 제공)• 건강하고 행복한 삶을 위한 종합검진(연1회)과 실손보험 지원[사내이벤트]• 다양한 문화활동으로 가득한 컬처데이• 리더와 구성원간 수평적 소통을 실천하는 타운홀 미팅• 구성원간 상호 이해를 높이는 랜덤 미팅 프로그램 (하이브 사다리)[기타사항]• 모든 신규 입사자는 온보딩을 위한 Win Together Program(3개월)을 진행합니다.  - 프로그램 기간 동안 급여 및 복리후생에 차등은 없습니다. - 최종 평가결과가 사내 기준에 부합하지 않을 경우, 채용이 취소될 수 있습니다.• 장애인 및 국가보훈대상자는 지원 시 관련법에 의거하여 우대합니다.• 제출자료와 채용 프로세스 전반에서 허위사실이 발견될 경우 채용이 취소됩니다.• 제출해주신 이력서는 하이브 전 법인의 인재Pool로 활용될 수 있음을 안내 드립니다.[채용 프로세스]• 서류전형 : 제출하신 지원서 및 서류를 각 실무 직책자/담당자가 검토합니다.• 실무 면접 : 실무 직책자와 해당 업무 수행에 필요한 역량, 경험, 스킬과 관련 인터뷰를 진행합니다.• 조직적합성 면접 : 하이브에서 일하는 방식과 지원자의 기대사항 간 부합여부를 피플과 상호 확인하는 인터뷰입니다.• 리더 면접 : 지원 조직의 담당 리더가 진행하며, 회사의 비전 공유와 종합적인 포지션 적합도를 확인합니다.• 처우협의/최종합격 : 서류와 면접전형에 합격하신 분들을 대상으로, 이후 처우와 입사일 등의 협의를 진행하여 채용을 확정하는 최종 단계입니다.• 참고사항 - 직무 특성에 따라 별도 과제 요청이나, 테스트를 진행할 수 있습니다. - 해당 채용은 수시채용 형식입니다. 모든 면접은 일대일, 혹은 다대일로 진행되며 시간은 최대 1시간 가량 소요됩니다.기술스택 ・ 툴JavaKotlinNode.jsPythonSwiftAWSSpring Framework",https://www.wanted.co.kr/wd/85846,위버스컴퍼니(WEVERSE COMPANY)
3,데이터엔지니어 및 NLP개발자,"국내 최대 의료 빅데이터 운영 기업 에비드넷에서 **데이터엔지니어**를 채용합니다.에비드넷은 의료 데이터를 다루는 스타트업으로 다양한 법적, 기술적 장벽으로 인해 활용이 어려운 의료 데이터를 표준화하여 다른 병원 및 연구기관 등에서 활용할 수 있는 플랫폼 서비스를 운영하고 있습니다.현재 국내 50여개의 대형 종합병원 및 의료기관과 협약하여 6,000만명 환자의 300억 건이 넘는의료 빅데이터를 빠르고 정확하게 분석/활용하여 의료 연구 솔루션과 다양한 서비스를 제공하고 있습니다.디지털 헬스케어 산업의 글로벌 탑티어로 성장하는 에비드넷과 함께할 역량 있고 도전적인 인재를 모십니다.주요업무• 대용량 분산 데이터 처리• 의료기록지 분석 Clinical NLP 모듈 개발자격요건• Apache Spark를 이용한 대용량 데이터 처리 경험• Python을 이용한 데이터 처리 및 분석 경험• 딥러닝을 이용한 자연어 처리 경험우대사항• 의료 도메인 데이터 처리 및 분석 경험• 머신러닝 및 AI 모듈 개발 경험혜택 및 복지[Work]• 시차출퇴근제도(8시~10시 출근)• 고사양 최신 업무용 PC 지원• 인센티브 및 각종 보너스• 판교역 출퇴근 셔틀운행(20분간격)• 점심식사비 월 18만원 현금 지급 • 조식 및 스낵/음료 무제한• 휴게실(맥주도 있음) + 안마의자 + 폰부스• 소통비(개인단위) 5만원/월 + 부서활성화비(부서단위) 24만원/년• 출장실비 지원 + 출장일비 지급[Life & Family]• 본인 및 가족 의료비 실비 지원(진료비&약제비)• 코로나 백신 유급휴가 2일• 자녀학자금• 경조사 지원금 및 유급휴가 제공• 설/추석 명절 상품권 제공• 생일 상품권 제공• 법인콘도 지원[Growth & Refresh]• 자기개발비 월 10만원~40만원• 업무 도서 구매 무제한 지원• 직무역량 향상 교육 지원• 리프레쉬 유급휴가 추가 3일 제공• 사내동호회 활동비 연간 30만원 지원[에비드넷 미리보기] • https://blog.naver.com/kkama2600/222873671801기술스택 ・ 툴MySQLJavaAWSDockerPostgreSQLSpring Boot",https://www.wanted.co.kr/wd/127047,에비드넷
4,데이터엔지니어 - BI 개발자,"엠클라우드브리지는 디지털 전환 시대, 고객 환경에 적합한 IT서비스 제공을 위해 인프라(IaaS), 플랫폼(PaaS), 소프트웨어(SaaS)의 라이선스, 서비스, 유지보수 그리고 고객 맞춤 교육 지원을 위해 조직된 각 분야 평균 10년 이상의 전문가 그룹입니다. Big 5 클라우드 서비스 파트너 도약이라는 목표를 가지고 마이크로소프트 빅데이터 분석 및 시각화, 업무 자동화 및 앱, 클라우드 인프라 제공을 위한 전문 조직과 자체 솔루션 개발을 통한 고객 확대에 투자를 전개하고 있습니다.주요업무• 고객 데이터 분석 및 BI Report 기획 (화면 설계)• 다양한 환경의 고객 데이터 연결 및 전처리 클렌징• Microsoft Power BI를 활용한 고객 BI Report 자동화• Microsoft Azure (Cloud)를 활용한 데이터 모델링자격요건• 경력 : 1년 이상우대사항• BI 솔루션(MS Power BI, Tableau, QLIK 등) 관련 경력자• MS 파워쿼리 또는 DAX 함수 사용이 능숙하신 분• SQL Query 가능하신 분 또는 DB 이해도가 높으신 분• PPT 또는 Excel 함수, VBA 등에 능숙하신 분• Shell 또는 MS PowerShell 사용이 가능하신 분• Python 사용 가능하신 분• 논리적이고 분석적인 사고를 갖추신 분혜택 및 복지• 스톡옵션/ 퇴직금/ 4대보험/ 경조사지원/ 명절선물• 자유로운 연차사용/ 근로자의날휴무/ 육아휴직/ 남성출산휴가• 카페테리아/ 간식제공•수평적조직문화/ 회식강요안함기술스택 ・ 툴AzurePythonShellSQLExcelGoogle AnalyticsPower BITableauAWSETLVBA데이터 마트",https://www.wanted.co.kr/wd/132268,엠클라우드브리지
5,[컬리] 시니어 데이터엔지니어,"우리와 꼭 맞는 마음을 가진 푸드마켓, 직접 만들어보면 어떨까?2015년 컬리는 그렇게 시작되었습니다.환경과 상품, 그리고 사람이 선순환을 이루는 컬리의 유통구조는 E-Commerce의 표준이 되었습니다. 이제 컬리는 또 다른 새로움에 도전합니다.컬리만의 신뢰와 데이터가 일상의 경험을 변화시킬 수 있도록모두를 연결하는 플랫폼, 모두에게 사랑받는 라이프스타일 파트너가 되고자 합니다.이 여정에는 당신이 필요합니다.최고의 동료와 함께 사랑과 신뢰를 받는 브랜드 컬리를 만들어 나갈 여러분을 기다립니다. [데이터플랫폼팀 소개]데이터플랫폼팀은 컬리가 데이터에 기반해 더 효율적이고 정확하고 지능적으로 운영되도록 함에 필요한 데이터 관련 엔지니어링 활동을 전개합니다. 데이터 파이프라인을 구축을 기본으로, 데이터 프로덕트 개발, 모델링, 데이터 애플리케이션 개발, 데이터 스토리지 관리 등의 다양한 활동을 수행합니다.주요업무Mission: 컬리 전사 데이터플랫폼 운영매일 신선한 먹거리와 각종 제품을 빠르게 배송하는 컬리에서는 준실시간 데이터를 활용해 현재 상황을 정확하게 파악하고 적절한 운영 지침을 내리는 업무가 무엇보다 중요합니다. 컬리의 눈과 귀, 그리고 손을 잇는 신경의 중추 역할을 하는 데이터플랫폼팀에서, 각종 커머스, 물류, 배송 데이터를 빠르고 신속하게 전달하는 데이터플랫폼을 운영합니다.데이터플랫폼팀이 구축, 운영 및 고도화를 담당하는 시스템은 다음과 같습니다.• 데이터 관련 클라우드 인프라 및 플랫폼• 준실시간, 배치 데이터 파이프라인• DataOps, MLOps 플랫폼• 데이터 프로덕트 (데이터 검색, 상품추천, 최적화, 머신러닝 등)자격요건• 3년 이상 클라우드 기반 데이터플랫폼 운영 경험이 있는 분• AWS/GCP 등 클라우드 인프라 운영 경험이 있는 분• 하둡, 카프카 등 분산 데이터 도구와 S3, Athena, Redshift 등 클라우드 데이터 서비스    운영 경험이 있는 분• 데이터 파이프라인을 안정적으로 운영하고 개선하는 데 필요한 실무 경험을 갖추고    적절한 의사 결정을 내리며 팀원들을 이끌 수 있는 분• 데이터 유관 부서와 원만하게 소통하며 데이터 비전문가의 니즈를 해석하고    최선의 운영 방향성을 도출하실 수 있는 분우대사항• Spark Streaming, Flink 등 실시간 데이터 도구 운영 경험이 있으신 분• 데이터 관련 부서 리드 경험이 있으신 분혜택 및 복지모두가 집중하고 성장할 수 있도록, 최적의 근무 환경을 제공해요• 리프레시도 필요하죠, 매월 유급 반차(0.5일) 퍼플데이 제공• 업무 효율을 위해서, 시차 출퇴근제 운영 (8시~11시 출근)• 장기근속에 대한 유급휴가 및 휴가비 지원제도 운영• 컬리인의 성장을 최우선으로 생각해요, 도서구입비 지원건강하고 활력 넘치는 직장생활을 위해 컬리가 지원해요• 여러분이 가장 소중한 고객이니까, 컬리 적립금 지급• 건강한 신체만큼 중요한 건 없죠, 의료비 지원• 허리 건강을 위한 모션 데스크 기본 지원• 함께하며 더욱 친해져요, 커피챗 비용 지원• 삶과 업무에 지쳐 멘탈 케어가 필요하다면, 프라이빗 심리 상담 지원기타 • 고용형태 : 정규직(수습 3개월) • 근무시간 : 10:00 am ~ 19:00 pm • 근무지 : 서울특별시 강남구 테헤란로 133 한국타이어앤테크놀로지사옥 • 합류과정: 입사지원 ＞ 서류전형 ＞ 직무적합성 인터뷰 ＞ 조직적합성 인터뷰 ＞ 최종합격",https://www.wanted.co.kr/wd/117443,컬리
6,"데이터엔지니어 (Spring, JS, GA, Log)","써머스플랫폼은 모바일과 커머스 영역의 대표 플랫폼 기업들이 모여서 다양한 시너지를 창출하는 토탈 커머스 플랫폼 기업입니다. 써머스플랫폼은 모바일 및 국내/외 쇼핑 플랫폼을 기반으로 다양한 서비스를 제공하고 있으며 에누리 가격비교 서비스는 물론 스윗트래커 CIC, 자회사인 빌트온과 함께 e-커머스 데이터 사업을 운영하고 있습니다.주요업무• Spring Boot 기반의 Back-end API 개발 및 운영• JAVA/JS 기반의 대용량 Log 데이터 수집 분석 시스템 개발자격요건• 경력 : 5년이상• Spring(Spring Boot)를 이용한 Back-end 시스템 개발 지식과 경험이 있으신 분• GA(Google Analytics)와 같은 Script 기반의 데이터 수집 관련 지식이나 경험이 있으신 분우대사항• RDBMS(Maria,PG), Mongo(NoSQL)  관련 지식과 개발 경험이 있으신 분• HTML, javascript(jquery), css 관련 지식과 개발 경험이 있으신 분• Python Django 관련 지식과 개별 경험이 있으신분• React,Vue 혹은 React Native 관련 지식과 개발 경험이 있으신 분혜택 및 복지• HAPPY 데이  - 임직원 생일 선물 지급• Health 데이  - 임직원 종합검진 지원• Nuri 데이  - 매월 셋째주 수요일 조기퇴근• Play 데이  - 사내 동호회 / 체육대회 / 워크샵 지원• Refresh 데이  - 1년이상 임직원 복지휴가 제공• Monday 런치  - 월요일마다 점심시간 1시간 30분• 장기근속휴가지원  - 3/5/7 장기근속시 휴가 + 휴가비 지원• 성과보상제도  - PI제도를 통한 성과급 지급• 임직원 구매지원  - 에누리가격비교사이트 애용시 E머니 적립• 시차출퇴근제 / 자율출근제  - 월~목 시차출퇴근제 / 금요일 (7:00 ~ 10:00) 자율출근제• 명절선물 • 경조사지원• 어버이날 감사선물• 임직원 근로복지 대출기술스택 ・ 툴ExpressJSLinuxMongoDBMySQLReactVueJSCSSHTMLJavaScriptPythonRjQueryNoSQLCSS3CSS 자바 스크립트PostgreSQLSPIReact NativeSpring Boot",https://www.wanted.co.kr/wd/115882,써머스플랫폼
